processed_text,label
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI overall_EN,positive
class_EN environment_EN bahut_HI achha_POS tha_EN overall_EN,positive
class_EN environment_EN bahut_HI achha_POS tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral
lecture_EN confusing_EN tha_EN,negative
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN overall_EN,positive
class_EN bhot_HI boring_EN thi_EN examples_EN ache_EN,negative
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral
class_EN environment_EN acha_POS tha_EN,positive
class_EN average_EN thi_EN honestly_EN,neutral
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative
lecture_EN confusing_EN tha_EN honestly_EN,negative
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN honestly_EN,neutral
lecture_EN normal_EN tha_EN special_EN nahi_HI examples_EN ache_EN,neutral
teacher_EN explanation_EN weak_EN tha_EN overall_EN,negative
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive
class_EN average_EN thi_EN,neutral
lecture_EN confusing_EN tha_EN according_EN me_HI,negative
class_EN boring_EN thi_EN,negative
lecture_EN manageable_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral
class_EN environment_EN bahut_HI achha_POS tha_EN honestly_EN,positive
class_EN bhot_HI boring_EN thi_EN slides_EN achi_HI thi_EN,negative
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral
notes_EN aur_HI explanation_EN dono_HI helpful_EN slides_EN achi_HI thi_EN,positive
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN honestly_EN,neutral
class_EN pace_EN bahut_HI fast_EN tha_EN,negative
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI,positive
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN thoda_HI aur_HI practice_EN chahiye_HI,positive
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral
class_EN average_EN thi_EN,neutral
discussion_EN session_EN kaafi_HI useful_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive
kal_EN class_EN accha_POS thi_EN,positive
sir_EN teaching_EN style_EN gud_HI hai_EN,positive
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI slides_EN achi_HI thi_EN,negative
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN honestly_EN,positive
aaj_HI lecture_EN bahut_HI informative_EN tha_EN,positive
class_EN average_EN thi_EN,neutral
