processed_text,label,tokens,dominant_topic
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,"['teacher_en', 'ne_hi', 'concept_en', 'bahut_hi', 'clearly_en', 'samjhaya_hi', 'thoda_hi', 'slow_en', 'hona_hi', 'chahiye_hi', 'tha_en']",2
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI overall_EN,positive,"['lecture_en', 'interesting_en', 'tha_en', 'aur_hi', 'samajh_hi', 'bhi_hi', 'aaya_hi', 'overall_en']",4
class_EN environment_EN bahut_HI achha_POS tha_EN overall_EN,positive,"['class_en', 'environment_en', 'bahut_hi', 'achha_pos', 'tha_en', 'overall_en']",3
class_EN environment_EN bahut_HI achha_POS tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,"['class_en', 'environment_en', 'bahut_hi', 'achha_pos', 'tha_en', 'thoda_hi', 'slow_en', 'hona_hi', 'chahiye_hi', 'tha_en']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,"['lecture_en', 'theek_hi', 'tha_en', 'aur_hi', 'examples_en', 'ho_hi', 'sakte_hi']",4
lecture_EN confusing_EN tha_EN,negative,"['lecture_en', 'confusing_en', 'tha_en']",4
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN overall_EN,positive,"['sir_en', 'teaching_en', 'style_en', 'bahut_hi', 'accha_pos', 'hai_en', 'overall_en']",4
class_EN bhot_HI boring_EN thi_EN examples_EN ache_EN,negative,"['class_en', 'bhot_hi', 'boring_en', 'thi_en', 'examples_en', 'ache_en']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,"['lecture_en', 'normal_en', 'tha_en', 'special_en', 'nahi_hi']",4
class_EN environment_EN acha_POS tha_EN,positive,"['class_en', 'environment_en', 'acha_pos', 'tha_en']",3
class_EN average_EN thi_EN honestly_EN,neutral,"['class_en', 'average_en', 'thi_en', 'honestly_en']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,"['teacher_en', 'ne_hi', 'topic_en', 'properly_en', 'explain_en', 'nahi_hi', 'kiya_hi']",0
lecture_EN confusing_EN tha_EN honestly_EN,negative,"['lecture_en', 'confusing_en', 'tha_en', 'honestly_en']",4
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN honestly_EN,neutral,"['content_en', 'theek_hi', 'tha_en', 'par_en', 'delivery_en', 'slow_en', 'thi_en', 'honestly_en']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI examples_EN ache_EN,neutral,"['lecture_en', 'normal_en', 'tha_en', 'special_en', 'nahi_hi', 'examples_en', 'ache_en']",4
teacher_EN explanation_EN weak_EN tha_EN overall_EN,negative,"['teacher_en', 'explanation_en', 'weak_en', 'tha_en', 'overall_en']",2
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,"['aaj_hi', 'lecture_en', 'bhot_hi', 'informative_en', 'tha_en']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,"['teacher_en', 'ne_hi', 'topic_en', 'properly_en', 'explain_en', 'nahi_hi', 'kiya_hi']",0
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,"['lecture_en', 'interesting_en', 'tha_en', 'aur_hi', 'samajh_hi', 'bhi_hi', 'aaya_hi']",4
class_EN average_EN thi_EN,neutral,"['class_en', 'average_en', 'thi_en']",3
lecture_EN confusing_EN tha_EN according_EN me_HI,negative,"['lecture_en', 'confusing_en', 'tha_en', 'according_en', 'me_hi']",4
class_EN boring_EN thi_EN,negative,"['class_en', 'boring_en', 'thi_en']",3
