text,label
Teacher ne concept bahut clearly samjhaya but thoda slow hona chahiye tha,positive
Lecture interesting tha aur samajh bhi aaya overall,positive
Class ka environment bahut achha tha overall,positive
Class ka environment bahut achha tha but thoda slow hona chahiye tha,positive
Lecture theek tha but aur examples ho sakte the??,neutral
Lecture confusing tha?!,negative
Sir ka teaching style bahut accha hai overall,positive
Class bohot boring thi but examples ache the,negative
Lecture normal tha kuch special nahi!,neutral
Class ka environment acha tha...,positive
Class average thi honestly,neutral
Teacher ne topic properly explain nahi kiya?! 😡,negative
Lecture confusing tha honestly,negative
Content theek tha par delivery slow thi honestly,neutral
Lecture normal tha kuch special nahi but examples ache the,neutral
Teacher ka explanation weak tha overall,negative
Aaj ka lecture bohot informative tha!!,positive
Teacher ne topic properly explain nahi kiya,negative
Lecture interesting tha aur samajh bhi aaya?! 😐,positive
Class average thi,neutral
Lecture confusing tha according to me,negative
Class borinng thi!!,negative
Lecture manageable tha but thoda aur practice chahiye,neutral
Concept samajh aaya par pace fast tha! 😡,neutral
Class ka environment bahut achha tha honestly,positive
Class bohot boring thi but slides achi thi,negative
Content theek tha par delivery slow thi but thoda slow hona chahiye tha,neutral
Lecture theek tha but aur examples ho sakte the aur thoda detail me hona chahiye tha,neutral
Notes aur explanation dono helpful the but slides achi thi,positive
Content theek tha par delivery slow thi honestly,neutral
Class ka pace bahut fast tha,negative
Lecture interesting tha aur samajh bhi aaya!,positive
Teacher ne concept bahut clearly samjhaya!!,positive
Sir ka teaching style bahut accha hai but thoda aur practice chahiye,positive
Concept samajh aaya par pace fast tha... 🙂,neutral
Class average thi??,neutral
Discussion session kaafi useful tha aur thoda detail me hona chahiye tha,positive
Kal ki class acchaa thi??,positive
Sir ka teaching style gud hai!,positive
Lecture theek tha but aur examples ho sakte the...,neutral
Teacher ne topic properly explain nahi kiya but slides achi thi,negative
Sir ka teaching style bahut accha hai honestly,positive
Aaj ka lecture bahut informative tha?!,positive
Class average thi...,neutral
Session okay tha but thoda slow hona chahiye tha,neutral
Notes aur explanation dono helpful the but examples ache the,positive
Class bohot boring thi according to me,negative
Kal ki class acha thi...,positive
Sir ka teaching style gud hai...,positive
Class bohot boring thi honestly,negative
Sir ka teaching style gud hai!,positive
Teacher ne concept bahut clearly samjhaya but thoda slow hona chahiye tha,positive
Teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,negative
Class ka environment bahut achha tha,positive
Topic bahut ache se cover kiya gaya but thoda slow hona chahiye tha,positive
Sir ka teaching style bahut accha hai overall,positive
Teacher ne concept bahut clearly samjhaya,positive
Lecture theek tha but aur examples ho sakte the...,neutral
Lecture confusing tha!,negative
Lecture theek tha but aur examples ho sakte the. 😕,neutral
Teacher ne topic properly explain nahi kiya but examples ache the,negative
Class ka environment bahut achha tha but slides achi thi,positive
Lecture normal tha kuch special nahi but thoda aur practice chahiye,neutral
Mujhe lecture bilkul samajh nahi aaya but thoda aur practice chahiye,negative
Class acha thi par thodi boring bhi??,neutral
Aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
Class borin thi,negative
Lecture interesting tha aur samajh bhi aaya!!,positive
Lecture confusing tha but slides achi thi,negative
Class achaa thi par thodi borring bhi 😐,neutral
Class ka environment achha tha,positive
Lecture time waste jaisa laga but thoda aur practice chahiye,negative
Topic bahut ache se cover kiya gaya,positive
Class ka pace bohut fast tha 🙂,negative
Lecture interesting tha aur samajh bhi aaya but slides achi thi,positive
Lecture confusing tha aur thoda detail me hona chahiye tha,negative
Lecture normal tha kuch special nahi. 😡,neutral
Lecture confusing tha!!,negative
Sir ka teaching style gud hai,positive
Teacher ne topic properly explain nahi kiya!!,negative
Lecture theek tha but aur examples ho sakte the according to me,neutral
Concept samajh aaya par pace fast tha??,neutral
Content theek tha par delivery slow thi,neutral
Lecture interesting tha aur samajh bhi aaya aur thoda detail me hona chahiye tha,positive
Class achi thi par thodi boring bhi aur thoda detail me hona chahiye tha,neutral
Topic theek tha but aur clarity chahiye thi honestly,neutral
Topic bahut poorly explain hua honestly,negative
Teacher ne topic properly explain nahi kiya honestly,negative
Examples clear nahi the overall,negative
Session okay tha according to me,neutral
Discussion session kaafi useful tha aur thoda detail me hona chahiye tha,positive
Class boring thi...,negative
Class ka environment achaah tha!! 😕,positive
Concept samajh aaya par pace fast tha aur thoda detail me hona chahiye tha,neutral
Kal ki class achaa thi.,positive
Lecture interesting tha aur samajh bhi aaya but thoda slow hona chahiye tha,positive
Class theek thi bas thoda lamba tha but slides achi thi,neutral
Lecture time waste jaisa laga but examples ache the,negative
Class boring thi??,negative
Class acha thi par thodi borinng bhi!,neutral
Class ka pace bahut fast tha but thoda slow hona chahiye tha,negative
Teacher ne topic properly explain nahi kiya,negative
Class ka environment bahut achha tha,positive
Class borring thi?!,negative
Sir ka teaching style good hai!,positive
Kal ki class accha thi.,positive
Aaj ka lecture bhot informative tha?!,positive
Lecture interesting tha aur samajh bhi aaya?!,positive
Aaj ka lecture bohut informative tha??,positive
Class ka pace bahuut fast tha?! 😡,negative
Session okay tha honestly,neutral
Topic bahut ache se cover kiya gaya honestly,positive
Lecture theek tha but aur examples ho sakte the...,neutral
Discussion session kaafi useful tha,positive
Kal ki class bohot achi thi overall,positive
Class bohot boring thi but thoda slow hona chahiye tha,negative
Concept samajh aaya par pace fast tha! 😐,neutral
Topic bahut poorly explain hua overall,negative
Aaj ka lecture bohot informative tha!,positive
Teacher ka explanation weak tha honestly,negative
Lecture theek tha but aur examples ho sakte the?!,neutral
Aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
Lecture normal tha kuch special nahi??,neutral
Class ka pace bahut fast tha but examples ache the,negative
Lecture normal tha kuch special nahi! 🙂,neutral
Discussion session kaafi useful tha,positive
Class ka pace bahut fast tha?! 🙂,negative
Teacher ne topic properly explain nahi kiya!,negative
Class ka environment acha tha!,positive
Sir ka teaching style gud hai??,positive
Class ka pace bahut fast tha??,negative
Class ka environment acchaa tha...,positive
Sir ka teaching style good hai. 😕,positive
Class theek thi bas thoda lamba tha,neutral
Sir ka teaching style goood hai!!,positive
Class average thi according to me,neutral
Class average thi?!,neutral
Topic bahut poorly explain hua honestly,negative
Lecture time waste jaisa laga but slides achi thi,negative
Lecture theek tha but aur examples ho sakte the aur thoda detail me hona chahiye tha,neutral
Class ka environment accha tha,positive
Lecture normal tha kuch special nahi?!,neutral
Aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
Lecture theek tha but aur examples ho sakte the overall,neutral
Concept samajh aaya par pace fast tha!! 😐,neutral
Lecture normal tha kuch special nahi...,neutral
Lecture interesting tha aur samajh bhi aaya??,positive
Content theek tha par delivery slow thi but examples ache the,neutral
Class ka environment achha tha!!,positive
Kal ki class bohot achi thi but slides achi thi,positive
Class achi thi par thodi boring bhi,neutral
Mujhe lecture bilkul samajh nahi aaya but thoda aur practice chahiye,negative
Sir ka teaching style bahut accha hai but thoda aur practice chahiye,positive
Discussion session kaafi useful tha overall,positive
Topic bahut poorly explain hua,negative
Concept samajh aaya par pace fast tha but slides achi thi,neutral
Class borring thi! 😡,negative
Class me interest nahi aaya but thoda aur practice chahiye,negative
Class me interest nahi aaya but thoda slow hona chahiye tha,negative
Class borin thi??,negative
Class theek thi bas thoda lamba tha honestly,neutral
Mujhe lecture bilkul samajh nahi aaya,negative
Discussion session kaafi useful tha,positive
Aaj ka lecture bahut informative tha honestly,positive
Class engaging thi aur boring nahi thi but slides achi thi,positive
Content theek tha par delivery slow thi but slides achi thi,neutral
Lecture confusing tha 😕,negative
Examples clear nahi the but thoda aur practice chahiye,negative
Class boring thi,negative
Concept samajh aaya par pace fast tha!!,neutral
Class borring thi,negative
Lecture confusing tha but thoda slow hona chahiye tha,negative
Content theek tha par delivery slow thi but slides achi thi,neutral
Aaj ka lecture bahut informative tha but examples ache the,positive
Class average thi honestly,neutral
Notes aur explanation dono helpful the according to me,positive
Content theek tha par delivery slow thi,neutral
Lecture theek tha but aur examples ho sakte the honestly,neutral
Concept samajh aaya par pace fast tha!,neutral
Teacher ne topic properly explain nahi kiya?!,negative
Notes aur explanation dono helpful the overall,positive
Concept samajh aaya par pace fast tha... 🙂,neutral
Teacher ne concept bahut clearly samjhaya aur thoda detail me hona chahiye tha,positive
Teacher ne concept bahut clearly samjhaya but examples ache the,positive
Class achi thi par thodi boring bhi according to me,neutral
Session okay tha but slides achi thi,neutral
Lecture confusing tha?? 😡,negative
Examples clear nahi the but thoda slow hona chahiye tha,negative
Class average thi honestly,neutral
Examples clear nahi the aur thoda detail me hona chahiye tha,negative
Lecture normal tha kuch special nahi but slides achi thi,neutral
Aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
Lecture interesting tha aur samajh bhi aaya,positive
Mujhe lecture bilkul samajh nahi aaya,negative
Aaj ka lecture bohot informative tha!,positive
Teacher ne topic properly explain nahi kiya. 😕,negative
Mujhe lecture bilkul samajh nahi aaya!! 😡,negative
Class ka environment acchaa tha.,positive
Mujhe lecture bilkul samajh nahi aaya overall,negative
Lecture manageable tha overall,neutral
Kal ki class bohot achi thi aur thoda detail me hona chahiye tha,positive
Lecture normal tha kuch special nahi?! 😡,neutral
Content theek tha par delivery slow thi but thoda aur practice chahiye,neutral
Notes aur explanation dono helpful the aur thoda detail me hona chahiye tha,positive
Teacher ne topic properly explain nahi kiya! 😕,negative
Class average thi??,neutral
Teacher ne topic properly explain nahi kiya but slides achi thi,negative
Examples clear nahi the overall,negative
Lecture theek tha but aur examples ho sakte the??,neutral
Aaj ka lecture bahut informative tha according to me,positive
Teacher ne topic properly explain nahi kiya...,negative
Sir ka teaching style gud hai!!,positive
Sir ka teaching style good hai!!,positive
Mujhe lecture bilkul samajh nahi aaya.,negative
Kal ki class bohot achi thi,positive
Lecture theek tha but aur examples ho sakte the...,neutral
Class ka pace bohot fast tha 😐,negative
Lecture confusing tha!,negative
Aaj ka lecture bahot informative tha.,positive
Sir ka teaching style bahut accha hai according to me,positive
Sir ka teaching style bahut accha hai aur thoda detail me hona chahiye tha,positive
Lecture theek tha but aur examples ho sakte the! 😡,neutral
Class ka environment acha tha!! 😕,positive
Kal ki class achaah thi,positive
Class achaah thi par thodi borin bhi...,neutral
Teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,negative
Session okay tha overall,neutral
Lecture confusing tha!,negative
Content theek tha par delivery slow thi but examples ache the,neutral
Topic bahut poorly explain hua but examples ache the,negative
Teacher ne topic properly explain nahi kiya...,negative
Discussion session kaafi useful tha honestly,positive
Concept samajh aaya par pace fast tha,neutral
Topic bahut poorly explain hua but slides achi thi,negative
Aaj ka lecture bahut informative tha overall,positive
Teacher ne concept bahuut clearly samjhaya.,positive
Class average thi??,neutral
Class ka environment achaah tha!,positive
Mujhe lecture bilkul samajh nahi aaya,negative
Lecture normal tha kuch special nahi but thoda aur practice chahiye,neutral
Teacher ne concept bahut clearly samjhaya honestly,positive
Lecture confusing tha... 😕,negative
Lecture confusing tha aur thoda detail me hona chahiye tha,negative
Mujhe lecture bilkul samajh nahi aaya,negative
Topic bahut ache se cover kiya gaya but thoda slow hona chahiye tha,positive
Teacher ka explanation weak tha,negative
Teacher ne topic properly explain nahi kiya?!,negative
Lecture confusing tha?!,negative
Teacher ne topic properly explain nahi kiya!! 😡,negative
Session okay tha overall,neutral
Class ka pace bahut fast tha honestly,negative
Class average thi...,neutral
Lecture time waste jaisa laga but thoda aur practice chahiye,negative
Class me interest nahi aaya overall,negative
Sir ka teaching style gud hai!! 😡,positive
Class ka pace bahot fast tha.,negative
Class achi thi par thodi boring bhi but thoda aur practice chahiye,neutral
Lecture theek tha but aur examples ho sakte the but examples ache the,neutral
Lecture theek tha but aur examples ho sakte the??,neutral
Lecture confusing tha,negative
Lecture confusing tha!!,negative
Class achha thi par thodi borin bhi,neutral
Mujhe lecture bilkul samajh nahi aaya aur thoda detail me hona chahiye tha,negative
