processed_text,label
pakistan_EN ghra_HI tauq_HI pakistan_EN israel_EN tasleem_HI nahein_HI kerta_HI isko_HI palistin_HI kehta_HI occup_HI palistin_HI nan_EN,negative
mdrchod_HI mull_HI mathra_HI nahi_HI dikha_HI mullo_HI hindu_EN liy_HI mara_EN lass_EN pais_HI mag_EN liy_HI,negative
manya_HI prdhan_HI mntri_HI mahoday_HI shriman_HI nrendra_HI modi_EN ji_HI pardhanmantri_HI bann_HI hardic_HI badhai_HI tahe_HI dil_EN,positive
krishn_HI jcb_HI full_EN trend_EN chl_HI aa_HI nan_EN,positive
logsabha_HI jnta_HI srf_HI modi_EN vote_EN na_HI mp_HI bjp_EN,positive
bhosdk_HI pichvad_HI tatti_HI rahog_HI nan_EN,negative
love_EN u_HI bhaijan_HI father_EN son_EN bhart_HI iambharat_HI bharatthiseid_HI bst_EN pic_EN entir_HI promot_HI mashallah_HI,positive
pass_EN abh_HI dmagh_HI nahi_HI islea_HI googl_HI apn_HI dmagh_HI banaya_HI tmhri_HI trh_HI,negative
nolo_HI weni_HI anker_HI gae_HI weekend_EN nan_EN,positive
aimim_HI lge_HI raho_HI mullo_HI tumhr_HI quran_EN faad_HI gyan_HI kayal_HI duniya_HI allah_EN khus_HI,negative
omer_HI muhammadpti_HI pakhtoon_HI haqooq_HI jang_EN nahi_HI panjab_HI haqooq_HI jung_EN pak_EN,negative
sale_EN desh_HI sage_EN nahin_HI sakt_HI gaddar_HI ink_EN sth_HI kadi_HI kadi_HI kanun_HI,negative
saf_HI bab_HI sorri_HI onlin_HI hope_EN sleep_EN love_EN nan_EN,positive
real_EN life_EN chor_HI diy_EN mene_HI alreadi_HI snake_EN ab_HI internet_EN chorn_HI sad_EN reason_EN solmon_HI nan_EN,negative
mohsin_HI dawartweet_HI daikho_HI kha_HI ker_HI mar_EN jao_HI bayghayrat_HI insantum_HI ali_EN wazir_HI harami_HI pakistan_EN,negative
media_EN chanel_EN dkh_HI ink_EN upr_HI kai_EN prakaar_HI crimin_HI case_EN shame_EN type_EN media_EN chanel_EN nan_EN,negative
mc_HI nhi_HI malum_HI ammi_HI mat_EN chuda_HI bsdk_HI grahm_HI stain_EN dara_HI singh_EN mara_EN adivasiy_HI,negative
chara_HI chor_HI chele_HI news_EN yar_HI nan_EN,negative
twitter_EN baghair_HI apn_HI roza_HI mumkin_HI nahi_HI apn_HI chutiyap_HI dusron_HI thopna_HI bnd_HI,positive
haha_EN soldier_EN read_EN american_EN god_EN hardi_HI thnk_HI remind_EN evryon_HI clusterfuck_HI nan_EN,negative
mp_HI govt_EN kamalnath_HI h_HI wese_HI video_EN viral_EN h_HI jism_HI aapk_HI shantidut_HI dukandar_HI,negative
dev_EN da_HI tmr_HI movi_HI sng_HI ami_EN tmk_HI valobasi_HI realli_HI love_EN lot_EN nan_EN,neutral
jyeng_HI batah_HI abh_HI pakvwi_HI babaji_HI thullu_HI,positive
hope_EN bab_HI weekend_EN high_EN doubt_EN ugh_EN nan_EN,neutral
sakinaka_HI tujh_HI bhadi_HI chinta_HI ab_HI pehl_HI bhadv_HI beth_EN dudh_HI,negative
isko_HI zammen_HI chayiy_HI bus_EN dogma_EN akhlesh_HI tareef_HI rahul_EN pm_HI dkh_HI,neutral
jai_EN shr_HI ram_EN jai_EN shr_HI krishn_HI jai_EN bajrang_HI bali_EN jai_EN bholenath_HI boln_HI lge_HI rukeng_HI nahi_HI,negative
rao_EN hindi_EN tmhri_HI bass_EN nahi_HI nahi_HI seekh_HI paog_HI dart_EN hindi_EN mark_EN nahi_HI,negative
hamyat_HI khota_HI khor_HI crupt_HI ganj_HI kert_HI kia_EN ukhar_HI lia_HI unhon_HI lanat_HI te_HI ptwari_HI nan_EN,negative
io_HI sale_EN today_EN nxttakeoverxxv_HI entranc_HI mask_EN qualiti_HI nice_EN back_EN side_EN nan_EN,positive
ch_HI pakeeza_HI languag_HI istema_HI nooni_HI bhayoon_HI poochhay_HI youth_EN aewen_HI e_HI critic_EN kart_EN sahb_HI nan_EN,neutral
gulwish_HI nahi_HI news_EN defend_EN kern_EN koshsh_HI ker_HI,neutral
murali_HI non_EN care_EN boycott_EN world_EN cup_EN till_EN neasaman_HI recov_HI attack_EN krishnamurthi_HI arrest_EN nan_EN,neutral
ahmad_EN lulli_HI nahi_HI khadi_HI bten_HI karalo_HI badi_HI badi_HI,neutral
dho_HI ashkenadamat_HI gunahon_HI meray_HI tar_EN damn_EN paak_HI damn_EN momin_HI khan_EN momin_HI nan_EN,neutral
beta_EN nafrat_HI jais_HI jahil_HI illiter_HI failat_HI nhi_HI phd_EN chl_HI h_HI,negative
favorit_HI anth_HI begin_EN movi_HI chhotichhoti_HI chitrayi_HI yaadein_HI,positive
mansoor_HI ali_EN nam_EN taray_HI andr_HI jaln_HI btaa_HI sari_EN duniya_HI oil_EN price_EN,negative
jai_EN bhem_HI great_EN news_EN bahujan_HI kumbkarnaa_HI becoz_HI happin_HI kick_EN st_HI,neutral
u_HI love_EN person_EN gave_EN fuck_EN u_HI dead_EN nan_EN,neutral
zaini_HI en_HI zalalt_HI daastano_HI tareekh_HI aoraaq_HI bhare_HI pare_HI behna_HI ais_EN nahi_HI samaj_HI,positive
color_EN india_EN sari_EN socht_HI pakistan_EN atankistan_HI h_HI nhi_HI h_HI thk_HI pakistan_EN bhuta_HI achi_HI h_HI nan_EN,positive
rohit_HI big_EN fan_EN meet_EN nan_EN,positive
lanat_HI bhejt_HI hn_HI tun_HI tmare_HI harami_HI leader_EN niazi_HI nan_EN,negative
dnt_HI slay_EN inta_HI nahi_HI leneka_HI segment_EN segment_EN pure_EN fun_EN nonsens_HI cast_EN make_EN sens_EN nan_EN,negative
kutta_HI bhonkn_HI lga_HI bhaiyo_HI firs_HI sale_EN gale_EN patt_HI,negative
world_EN cup_EN mrd_HI nahi_HI khusr_HI gae_HI hein_HI larn_HI nahi_HI twitter_EN sth_HI talian_HI bajana_HI jaant_HI hein_HI nan_EN,negative
bhaijaan_HI ji_HI pleas_EN apka_HI bahot_HI bahot_HI bada_HI fan_EN hoon_HI pleas_EN jindagi_HI bachalijiy_HI pleas_EN,neutral
scene_EN sahil_HI propos_HI vedika_HI dialogu_HI magic_EN ind_EN coz_EN nt_HI heard_EN,positive
bhauji_HI tohra_HI haal_HI ba_HI kahe_HI ludhak_HI gailu_HI eka_HI matlab_HI akhlesh_HI bha_HI,neutral
scratch_EN kfc_EN auqaat_HI nahi_HI today_EN defeat_EN pesay_HI doob_HI sarfi_HI chakaar_HI andaay_HI,negative
dsscampaignagainstdrugabus_HI papa_EN ji_HI aj_HI p_HI hd_HI entranc_HI exm_HI ji_HI rehmt_HI bahut_HI acha_POS gy_HI nan_EN,positive
muslim_EN e_HI qadr_HI mubrk_HI,positive
rj_HI kai_EN bar_EN product_EN khrb_HI nhi_HI logo_EN choic_HI khrb_HI product_EN,neutral
aaiy_HI aapka_HI intzar_HI damn_EN khoobsurat_HI ladka_HI mashallah_HI ca_HI nt_HI wait_EN season_EN,positive
zeeshan_HI love_EN u_HI bhaijan_HI father_EN son_EN bhart_HI iambharat_HI bst_EN pic_EN entir_HI promot_HI mashallah_HI,positive
saheb_HI jat_HI talbani_HI jess_EN harkat_HI tahe_HI masum_HI logo_EN marta_EN ammi_HI mar_EN jate_HI,negative
muzhab_HI nam_EN elect_EN jeetna_HI bada_HI kaarnama_HI nahi_HI messag_HI,negative
dhol_HI bst_EN post_EN brav_HI respact_HI nan_EN,positive
allah_EN bles_HI strong_EN iman_HI taqwa_HI pieti_HI pure_EN heart_EN manner_EN allah_EN give_EN eye_EN nan_EN,positive
chiller_HI man_EN give_EN big_EN jhtka_HI nsecoloscam_HI made_EN laugh_EN stock_EN,neutral
u_HI ppl_EN u_HI ador_HI u_HI transact_HI give_EN u_HI u_HI r_HI su_HI nan_EN,neutral
