clean_text,label
teacher ne concept bahut clearly samjhaya but thoda slow hona chahiye tha,positive
lecture interesting tha aur samajh bhi aaya overall,positive
class ka environment bahut achha tha overall,positive
class ka environment bahut achha tha but thoda slow hona chahiye tha,positive
lecture theek tha but aur examples ho sakte the,neutral
lecture confusing tha,negative
sir ka teaching style bahut accha hai overall,positive
class bohot boring thi but examples ache the,negative
lecture normal tha kuch special nahi,neutral
class ka environment acha tha,positive
class average thi honestly,neutral
teacher ne topic properly explain nahi kiya,negative
lecture confusing tha honestly,negative
content theek tha par delivery slow thi honestly,neutral
lecture normal tha kuch special nahi but examples ache the,neutral
teacher ka explanation weak tha overall,negative
aaj ka lecture bohot informative tha,positive
teacher ne topic properly explain nahi kiya,negative
lecture interesting tha aur samajh bhi aaya,positive
class average thi,neutral
lecture confusing tha according to me,negative
class borinng thi,negative
lecture manageable tha but thoda aur practice chahiye,neutral
concept samajh aaya par pace fast tha,neutral
class ka environment bahut achha tha honestly,positive
class bohot boring thi but slides achi thi,negative
content theek tha par delivery slow thi but thoda slow hona chahiye tha,neutral
lecture theek tha but aur examples ho sakte the aur thoda detail me hona chahiye tha,neutral
notes aur explanation dono helpful the but slides achi thi,positive
content theek tha par delivery slow thi honestly,neutral
class ka pace bahut fast tha,negative
lecture interesting tha aur samajh bhi aaya,positive
teacher ne concept bahut clearly samjhaya,positive
sir ka teaching style bahut accha hai but thoda aur practice chahiye,positive
concept samajh aaya par pace fast tha,neutral
class average thi,neutral
discussion session kaafi useful tha aur thoda detail me hona chahiye tha,positive
kal ki class acchaa thi,positive
sir ka teaching style gud hai,positive
lecture theek tha but aur examples ho sakte the,neutral
teacher ne topic properly explain nahi kiya but slides achi thi,negative
sir ka teaching style bahut accha hai honestly,positive
aaj ka lecture bahut informative tha,positive
class average thi,neutral
session okay tha but thoda slow hona chahiye tha,neutral
notes aur explanation dono helpful the but examples ache the,positive
class bohot boring thi according to me,negative
kal ki class acha thi,positive
sir ka teaching style gud hai,positive
class bohot boring thi honestly,negative
sir ka teaching style gud hai,positive
teacher ne concept bahut clearly samjhaya but thoda slow hona chahiye tha,positive
teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,negative
class ka environment bahut achha tha,positive
topic bahut ache se cover kiya gaya but thoda slow hona chahiye tha,positive
sir ka teaching style bahut accha hai overall,positive
teacher ne concept bahut clearly samjhaya,positive
lecture theek tha but aur examples ho sakte the,neutral
lecture confusing tha,negative
lecture theek tha but aur examples ho sakte the,neutral
teacher ne topic properly explain nahi kiya but examples ache the,negative
class ka environment bahut achha tha but slides achi thi,positive
lecture normal tha kuch special nahi but thoda aur practice chahiye,neutral
mujhe lecture bilkul samajh nahi aaya but thoda aur practice chahiye,negative
class acha thi par thodi boring bhi,neutral
aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
class borin thi,negative
lecture interesting tha aur samajh bhi aaya,positive
lecture confusing tha but slides achi thi,negative
class achaa thi par thodi borring bhi,neutral
class ka environment achha tha,positive
lecture time waste jaisa laga but thoda aur practice chahiye,negative
topic bahut ache se cover kiya gaya,positive
class ka pace bohut fast tha,negative
lecture interesting tha aur samajh bhi aaya but slides achi thi,positive
lecture confusing tha aur thoda detail me hona chahiye tha,negative
lecture normal tha kuch special nahi,neutral
lecture confusing tha,negative
sir ka teaching style gud hai,positive
teacher ne topic properly explain nahi kiya,negative
lecture theek tha but aur examples ho sakte the according to me,neutral
concept samajh aaya par pace fast tha,neutral
content theek tha par delivery slow thi,neutral
lecture interesting tha aur samajh bhi aaya aur thoda detail me hona chahiye tha,positive
class achi thi par thodi boring bhi aur thoda detail me hona chahiye tha,neutral
topic theek tha but aur clarity chahiye thi honestly,neutral
topic bahut poorly explain hua honestly,negative
teacher ne topic properly explain nahi kiya honestly,negative
examples clear nahi the overall,negative
session okay tha according to me,neutral
discussion session kaafi useful tha aur thoda detail me hona chahiye tha,positive
class boring thi,negative
class ka environment achaah tha,positive
concept samajh aaya par pace fast tha aur thoda detail me hona chahiye tha,neutral
kal ki class achaa thi,positive
lecture interesting tha aur samajh bhi aaya but thoda slow hona chahiye tha,positive
class theek thi bas thoda lamba tha but slides achi thi,neutral
lecture time waste jaisa laga but examples ache the,negative
class boring thi,negative
class acha thi par thodi borinng bhi,neutral
class ka pace bahut fast tha but thoda slow hona chahiye tha,negative
teacher ne topic properly explain nahi kiya,negative
class ka environment bahut achha tha,positive
class borring thi,negative
sir ka teaching style good hai,positive
kal ki class accha thi,positive
aaj ka lecture bhot informative tha,positive
lecture interesting tha aur samajh bhi aaya,positive
aaj ka lecture bohut informative tha,positive
class ka pace bahuut fast tha,negative
session okay tha honestly,neutral
topic bahut ache se cover kiya gaya honestly,positive
lecture theek tha but aur examples ho sakte the,neutral
discussion session kaafi useful tha,positive
kal ki class bohot achi thi overall,positive
class bohot boring thi but thoda slow hona chahiye tha,negative
concept samajh aaya par pace fast tha,neutral
topic bahut poorly explain hua overall,negative
aaj ka lecture bohot informative tha,positive
teacher ka explanation weak tha honestly,negative
lecture theek tha but aur examples ho sakte the,neutral
aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
lecture normal tha kuch special nahi,neutral
class ka pace bahut fast tha but examples ache the,negative
lecture normal tha kuch special nahi,neutral
discussion session kaafi useful tha,positive
class ka pace bahut fast tha,negative
teacher ne topic properly explain nahi kiya,negative
class ka environment acha tha,positive
sir ka teaching style gud hai,positive
class ka pace bahut fast tha,negative
class ka environment acchaa tha,positive
sir ka teaching style good hai,positive
class theek thi bas thoda lamba tha,neutral
sir ka teaching style goood hai,positive
class average thi according to me,neutral
class average thi,neutral
topic bahut poorly explain hua honestly,negative
lecture time waste jaisa laga but slides achi thi,negative
lecture theek tha but aur examples ho sakte the aur thoda detail me hona chahiye tha,neutral
class ka environment accha tha,positive
lecture normal tha kuch special nahi,neutral
aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
lecture theek tha but aur examples ho sakte the overall,neutral
concept samajh aaya par pace fast tha,neutral
lecture normal tha kuch special nahi,neutral
lecture interesting tha aur samajh bhi aaya,positive
content theek tha par delivery slow thi but examples ache the,neutral
class ka environment achha tha,positive
kal ki class bohot achi thi but slides achi thi,positive
class achi thi par thodi boring bhi,neutral
mujhe lecture bilkul samajh nahi aaya but thoda aur practice chahiye,negative
sir ka teaching style bahut accha hai but thoda aur practice chahiye,positive
discussion session kaafi useful tha overall,positive
topic bahut poorly explain hua,negative
concept samajh aaya par pace fast tha but slides achi thi,neutral
class borring thi,negative
class me interest nahi aaya but thoda aur practice chahiye,negative
class me interest nahi aaya but thoda slow hona chahiye tha,negative
class borin thi,negative
class theek thi bas thoda lamba tha honestly,neutral
mujhe lecture bilkul samajh nahi aaya,negative
discussion session kaafi useful tha,positive
aaj ka lecture bahut informative tha honestly,positive
class engaging thi aur boring nahi thi but slides achi thi,positive
content theek tha par delivery slow thi but slides achi thi,neutral
lecture confusing tha,negative
examples clear nahi the but thoda aur practice chahiye,negative
class boring thi,negative
concept samajh aaya par pace fast tha,neutral
class borring thi,negative
lecture confusing tha but thoda slow hona chahiye tha,negative
content theek tha par delivery slow thi but slides achi thi,neutral
aaj ka lecture bahut informative tha but examples ache the,positive
class average thi honestly,neutral
notes aur explanation dono helpful the according to me,positive
content theek tha par delivery slow thi,neutral
lecture theek tha but aur examples ho sakte the honestly,neutral
concept samajh aaya par pace fast tha,neutral
teacher ne topic properly explain nahi kiya,negative
notes aur explanation dono helpful the overall,positive
concept samajh aaya par pace fast tha,neutral
teacher ne concept bahut clearly samjhaya aur thoda detail me hona chahiye tha,positive
teacher ne concept bahut clearly samjhaya but examples ache the,positive
class achi thi par thodi boring bhi according to me,neutral
session okay tha but slides achi thi,neutral
lecture confusing tha,negative
examples clear nahi the but thoda slow hona chahiye tha,negative
class average thi honestly,neutral
examples clear nahi the aur thoda detail me hona chahiye tha,negative
lecture normal tha kuch special nahi but slides achi thi,neutral
aaj ka lecture bahut informative tha aur thoda detail me hona chahiye tha,positive
lecture interesting tha aur samajh bhi aaya,positive
mujhe lecture bilkul samajh nahi aaya,negative
aaj ka lecture bohot informative tha,positive
teacher ne topic properly explain nahi kiya,negative
mujhe lecture bilkul samajh nahi aaya,negative
class ka environment acchaa tha,positive
mujhe lecture bilkul samajh nahi aaya overall,negative
lecture manageable tha overall,neutral
kal ki class bohot achi thi aur thoda detail me hona chahiye tha,positive
lecture normal tha kuch special nahi,neutral
content theek tha par delivery slow thi but thoda aur practice chahiye,neutral
notes aur explanation dono helpful the aur thoda detail me hona chahiye tha,positive
teacher ne topic properly explain nahi kiya,negative
class average thi,neutral
teacher ne topic properly explain nahi kiya but slides achi thi,negative
examples clear nahi the overall,negative
lecture theek tha but aur examples ho sakte the,neutral
aaj ka lecture bahut informative tha according to me,positive
teacher ne topic properly explain nahi kiya,negative
sir ka teaching style gud hai,positive
sir ka teaching style good hai,positive
mujhe lecture bilkul samajh nahi aaya,negative
kal ki class bohot achi thi,positive
lecture theek tha but aur examples ho sakte the,neutral
class ka pace bohot fast tha,negative
lecture confusing tha,negative
aaj ka lecture bahot informative tha,positive
sir ka teaching style bahut accha hai according to me,positive
sir ka teaching style bahut accha hai aur thoda detail me hona chahiye tha,positive
lecture theek tha but aur examples ho sakte the,neutral
class ka environment acha tha,positive
kal ki class achaah thi,positive
class achaah thi par thodi borin bhi,neutral
teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,negative
session okay tha overall,neutral
lecture confusing tha,negative
content theek tha par delivery slow thi but examples ache the,neutral
topic bahut poorly explain hua but examples ache the,negative
teacher ne topic properly explain nahi kiya,negative
discussion session kaafi useful tha honestly,positive
concept samajh aaya par pace fast tha,neutral
topic bahut poorly explain hua but slides achi thi,negative
aaj ka lecture bahut informative tha overall,positive
teacher ne concept bahuut clearly samjhaya,positive
class average thi,neutral
class ka environment achaah tha,positive
mujhe lecture bilkul samajh nahi aaya,negative
lecture normal tha kuch special nahi but thoda aur practice chahiye,neutral
teacher ne concept bahut clearly samjhaya honestly,positive
lecture confusing tha,negative
lecture confusing tha aur thoda detail me hona chahiye tha,negative
mujhe lecture bilkul samajh nahi aaya,negative
topic bahut ache se cover kiya gaya but thoda slow hona chahiye tha,positive
teacher ka explanation weak tha,negative
teacher ne topic properly explain nahi kiya,negative
lecture confusing tha,negative
teacher ne topic properly explain nahi kiya,negative
session okay tha overall,neutral
class ka pace bahut fast tha honestly,negative
class average thi,neutral
lecture time waste jaisa laga but thoda aur practice chahiye,negative
class me interest nahi aaya overall,negative
sir ka teaching style gud hai,positive
class ka pace bahot fast tha,negative
class achi thi par thodi boring bhi but thoda aur practice chahiye,neutral
lecture theek tha but aur examples ho sakte the but examples ache the,neutral
lecture theek tha but aur examples ho sakte the,neutral
lecture confusing tha,negative
lecture confusing tha,negative
class achha thi par thodi borin bhi,neutral
mujhe lecture bilkul samajh nahi aaya aur thoda detail me hona chahiye tha,negative
teacher ne topic properly explain nahi kiya,negative
lecture confusing tha,negative
aaj ka lecture bhot informative tha,positive
teacher ne concept bahot clearly samjhaya,positive
mujhe lecture bilkul samajh nahi aaya,negative
mujhe lecture bilkul samajh nahi aaya,negative
class theek thi bas thoda lamba tha according to me,neutral
sir ka teaching style good hai,positive
lecture normal tha kuch special nahi,neutral
topic bahut poorly explain hua overall,negative
class theek thi bas thoda lamba tha but thoda aur practice chahiye,neutral
class me interest nahi aaya but slides achi thi,negative
topic bahut ache se cover kiya gaya according to me,positive
lecture theek tha but aur examples ho sakte the,neutral
lecture interesting tha aur samajh bhi aaya but examples ache the,positive
examples clear nahi the,negative
teacher ka explanation weak tha but thoda slow hona chahiye tha,negative
lecture interesting tha aur samajh bhi aaya but thoda slow hona chahiye tha,positive
lecture theek tha but aur examples ho sakte the,neutral
lecture normal tha kuch special nahi honestly,neutral
kal ki class achaah thi,positive
class borinng thi,negative
class average thi,neutral
