processed_text,label,lda_text,tokens,dominant_topic
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,teacher ne concept bahut clearly samjhaya thoda slow hona chahiye tha,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI overall_EN,positive,lecture interesting tha aur samajh bhi aaya overall,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'overall']",4
class_EN environment_EN bahut_HI achha_POS tha_EN overall_EN,positive,class environment bahut achha tha overall,"['class', 'environment', 'bahut', 'achha', 'tha', 'overall']",4
class_EN environment_EN bahut_HI achha_POS tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,class environment bahut achha tha thoda slow hona chahiye tha,"['class', 'environment', 'bahut', 'achha', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN overall_EN,positive,sir teaching style bahut accha hai overall,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'overall']",0
class_EN bhot_HI boring_EN thi_EN examples_EN ache_EN,negative,class bhot boring thi examples ache,"['class', 'bhot', 'boring', 'thi', 'examples', 'ache']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN environment_EN acha_POS tha_EN,positive,class environment acha tha,"['class', 'environment', 'acha', 'tha']",4
class_EN average_EN thi_EN honestly_EN,neutral,class average thi honestly,"['class', 'average', 'thi', 'honestly']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN confusing_EN tha_EN honestly_EN,negative,lecture confusing tha honestly,"['lecture', 'confusing', 'tha', 'honestly']",2
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN honestly_EN,neutral,content theek tha par delivery slow thi honestly,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'honestly']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI examples_EN ache_EN,neutral,lecture normal tha special nahi examples ache,"['lecture', 'normal', 'tha', 'special', 'nahi', 'examples', 'ache']",0
teacher_EN explanation_EN weak_EN tha_EN overall_EN,negative,teacher explanation weak tha overall,"['teacher', 'explanation', 'weak', 'tha', 'overall']",0
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
lecture_EN confusing_EN tha_EN according_EN me_HI,negative,lecture confusing tha according me,"['lecture', 'confusing', 'tha', 'according']",2
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
lecture_EN manageable_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,lecture manageable tha thoda aur practice chahiye,"['lecture', 'manageable', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN environment_EN bahut_HI achha_POS tha_EN honestly_EN,positive,class environment bahut achha tha honestly,"['class', 'environment', 'bahut', 'achha', 'tha', 'honestly']",4
class_EN bhot_HI boring_EN thi_EN slides_EN achi_HI thi_EN,negative,class bhot boring thi slides achi thi,"['class', 'bhot', 'boring', 'thi', 'slides', 'achi', 'thi']",3
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,content theek tha par delivery slow thi thoda slow hona chahiye tha,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",3
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte aur thoda detail me hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",2
notes_EN aur_HI explanation_EN dono_HI helpful_EN slides_EN achi_HI thi_EN,positive,notes aur explanation dono helpful slides achi thi,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'slides', 'achi', 'thi']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN honestly_EN,neutral,content theek tha par delivery slow thi honestly,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'honestly']",3
class_EN pace_EN bahut_HI fast_EN tha_EN,negative,class pace bahut fast tha,"['class', 'pace', 'bahut', 'fast', 'tha']",4
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bahut clearly samjhaya,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya']",0
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,sir teaching style bahut accha hai thoda aur practice chahiye,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'thoda', 'aur', 'practice', 'chahiye']",0
