clean_text,label
pakistan ka ghra tauq pakistan israel ko tasleem nahein kerta isko palestin kehta occupi palestin nan,negative
madarchod mull ye mathura nahi dikha tha jab mullo ne hindu ko iss liy mara ki vo lass ki pais mag liy,negative
manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil,positive
krishna jcb full trend chal rahi aa nan,positive
loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without,positive
bhosdik tum pechvad ki tatti hi rahog bc nan,negative
love u bhaijan father son bharat iambharat bharatthiseid best pic entir promot mashallah,positive
tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh,negative
nolo weni anker gae weekend nan,positive
aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus,negative
omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,negative
ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun,negative
saf babi sorri onlin hope sleep well though love nan,positive
real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain m sad reason solmon nan,negative
mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan,negative
kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel nan,negative
abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy,negative
well chara chor ke chele news year old nan,negative
twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai,positive
oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan,negative
mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar,negative
dev da tmr new movi song ami tmk valobasi realli love lot nan,neutral
abe bc kya le jayeng yeh toh batah abhi pakvwi babaji ka thullu,positive
hope see babi weekend high doubt ugh nan,neutral
teri ka sakinaka tujh bhadi chinta ho rahi aaj ab se pehl bhadv log beth tab tu dudh,negative
isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh,neutral
jai shri ram jai shri krishna jai bajrang bali jai bholenath hum log boln lage rukeng nahi,negative
rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi,negative
hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari nan,negative
io sale today nxttakeoverxxv entranc mask qualiti nice even back side come soon nan,positive
ch pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb nan,neutral
gulwish nahi wo news ko defend kern ki koshesh ker rhe hain,neutral
murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan,neutral
ahmad lulli hoti nahi khadi baten karalo badi badi,neutral
dho diya ashkenadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin nan,neutral
beta nafrat tum jais jahil illiter failat hain pata nhi kon si phd chal rhi h,negative
one favorit anoth one begin movi chhotichhoti chitrayi yaadein,positive
mansoor ali tera nam taray ander ki jalan btaa raha hai sari duniya main oil price,negative
jai bheem great news bahujan kumbkarnaa becoz happen kick st,neutral
u love one person gave fuck u dead nan,neutral
zaini en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye ais nahi samaj,positive
color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch log lagti h thik pakistani bhuta achi h nan,positive
rohit bhai big fan want meet nan,positive
lanat bhejta hn tun pe tmare harami leader niazi pe nan,negative
dont slay inta serious nahi leneka segment ko segment pure fun nonsens cast make sens nan,negative
kutta bhonkn lga bhaiyo firs sale gale patt,negative
world cup mein mard nahi khusr gae hein jo larna nahi twitter per k sath talian bajana jaant hein nan,negative
bhaijaan ji pleas mein apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas mein,neutral
scene sahil propos vedika dialogu magic inde coz nt heard,positive
bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha,neutral
scratch kfc ke bhi auqaat nahi rahe today s defeat pesay doob gaye sarfi ke chakaar main andaay,negative
dsscampaignagainstdrugabus papa ji aj mera p hd entranc exam tha ap ji ki rehmt se bahut acha ho gy nan,positive
muslim sab e qadar mubarak,positive
rj kai bar product khrab nhi hota logo ki choic khrab hoti hai product ki,neutral
aaiy aapka intezaar tha damn kitna khoobsurat hai yeh ladka mashallah ca nt wait new season,positive
zeeshan love u bhaijan father son bharat iambharat best pic entir promot mashallah,positive
saheb tera jat talbani jess harqat kyu kar tahe masum logo ko kyu marta tab tera ammi kaha mar jate,negative
mazhab ke naam par elect jeetna koi bada kaarnama nahi hota messag,negative
dhol serious one best post seen bravo nd respect nan,positive
may allah bless us strong imaan taqwa pieti pure heart good manner ya allah give eye se nan,positive
chiller man give big jhtka nsecoloscam made laugh stock,neutral
u thing ppl u ador u want s transact s give take u s u r su nan,neutral
apn desh ke logo ko thug kar chala sanjeev kapoor world cup dekn nan,negative
ab ye btaega iss pucho tere jiyn b mla hai usm se gina hindu mla kaunsa hai teri muslim awaadi wale gaao,neutral
haaa lie think buy new pair bc put shit charger minut nan,neutral
bhai yeah glass wali admi kon hai jo appki har pic main hota hai nan,neutral
mumta bano mhatma ghandhi ki smadhi pe nhi jayegi kyu vhan ghandhi ji ke akhi nan,neutral
india modi ji aaan k baad muslim sa,neutral
boy kiya age hy tmhri girl boy mine love girl m taken boy abhi tmhri umer hi,neutral
ali btw kisi jhootay maseeha ko maseeha man leni sy qafir nahi ho jata koi k,negative
mc hai sala sale lo jyada ghamand hai kuch din ruk sale tera ghamand dur ho jayega,neutral
pathan ikk toh sarkar job ni de rhi upper se apn india ke log kaam karna nahi chahat,neutral
han chara ghotal mein bhi laloo ne kitney hi gavahon ki maut ke ghat utar diya nan,negative
good morn papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa,positive
qau pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata karz,neutral
boi kdo unpract cool sword seen nan,neutral
journal k bare bt ki jbhi isko ye cripption ka certif dia gaya h nan,positive
sir prashant dhawan kohinoor studi iq best teacher current aff,positive
last check mp congress ki sarkar hai law order state subject nan,neutral
yeah jo aap hamara roza kharaab karay hain na yeh uss ka notic hay lol allah aap ko aur aap ki famili,neutral
desh ke gaddaro ke liy saal bahut pain hoge kyoki mota bhai home minist india,neutral
ekto aap log muskur bhut ho sharmat bhi bhut ho dil karta hi aaplogon ko eid pr bolaun,positive
nice joke tmhare ghaddaron ko danda janay waala hai landay ka istim maal pakra hai ussay,neutral
antar atma ko bech diya hain jab tak beijjat kark bhagaya nahi jata tab tak nahi hilega lekin rahe,positive
khan sahab apko vote diya taki ap pm bani alhamdulillah ap bani bi pm magar khan sahab ab gabraht ho rahi,neutral
sir mere c se ko rs deduct ho gaya hai kekin branch offic kahta ki mai nahi janta ki k,neutral
amrann even nice second smh salaam love nan,neutral
aapko bahut bahut badhai ho amitshah ji asha kart hain ki aap bhi modi ji ki tarah hi hama,neutral
would bring great joy hear rendit des ree got ta sayin xoxo nan,neutral
mera khayal apki nazron se woh document nehein guzra jis apk papa ne bahir janey keley mushar,neutral
one one jane virgin narrat knoow straight telenovela right nan,neutral
bhai plz bhagwan kre bharat acchi movi ho qki dedepyard jitna,neutral
wish bro happi birthday mani hit way togeth thankyou give music nan,positive
apki aik gawahi ne mannat ko pagal saabit kerdia hai watch cheekh tonight pm arydigit,neutral
listen first jojo siwa song fan lol nan,neutral
sara masla hi band ki wajh se hai yehi fasad ki jar hai ko team nhe chalan ati palyer ka ap men hasd hai nan,neutral
sk chetan adarsh abe chutiy tera crimin jaisa ghatiya public stunt nhi kr rha h n jo unnec,negative
kung hnd ko pa checheck bat ka dm ko mukha ni jungkooki hnd ko maalala na ikaw hahaha nan,neutral
babi amaz job today hope feel good wish would hotel room wate yo,positive
dil k khush krni ko ghalib khyal acha ha myth,neutral
allah jise chahe izaat de r jise chahey zilat dt dua ha allah nawaz shareef ko us k khandan ko r u,neutral
ngk good one kudo hero offl nan,positive
sahi hoga sayad tabhi sirf appki channel pe ye dikh raha hai warna kuch bikav media,neutral
ez ja na pakistani pig dukkar kutta suvar ki mix aulad nan,negative
ais barish se dosti ai nahi maaraz tere khud ka gar mitti ka h ku khyal kar tera intzar har koi nahi karega,neutral
fuck mean apna neech ka band kark rakhna jyada kholn ki jaroorat hani,negative
ham tu ak ayena ha tu dikhaya gya dagh chahru ka jis ku bura laga samna sa hat jay love pak armi,neutral
happi birthday bhai pray baba vishwanath good health bright futur,neutral
good morn pita ji thank new day pls bless sewa sumrin parmarth bakso ji,neutral
offici superbbb voic arjun ji u reali mean much salut yuh,positive
absolut right histori independ india inclus secular talk nev,neutral
thicccccccc xd confirm dare m one wit hahaha nan,positive
congrat sir lucknow ki shaan bada di aapn veerta aur shaurya ki missal ab aap pesh kariyega jai hind nan,neutral
ha ha ha cow mutr peek war guy st,neutral
nan,neutral
modi ke jitn ka asar vipaksh pe nahi padosiyo pe bhi hua hai bokhla gay sare ke sare modi akela,positive
bholi bhayaa ufffff dil jeet liya ap ne love imran bhai mind blow ap ki act hai alla,positive
ri pori dunya main tum log abhi bhi main growup ab kisi ko bhaija sath khud aa jana nan,neutral
ne aat hi half centuri kr di thnku bhai itn like ke liy,positive
jansankhya aur atikraman desh ka sabs bada samasya hai beat plastic pollut jai hind nan,neutral
obc bhikhari nahi hai aur bhenchod bheemt obc naam ka account bnakar apni maa chuda rah,negative
fizakhan pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata,neutral
pti janab thank veri much short break place may allah protect famili,positive
org chalo g bc inhi c,neutral
congratul akash bhai aap ko phir se saal ka contract mil gaya keepitup note sorri,positive
husain haqqani sab ap time nikal k mar q nahi jatay dharti py bojh ho tum gaddar besharam nan,negative
noth like fresh hit pepsi day like today,positive
